
# Capture run: %02d-12 00:19:33
frame,frame_time_ms,shading_ms,post_ms
0,0.020920,1.661072,0.058796
1,0.013773,1.647784,0.056456
2,0.020882,1.668204,0.057036
3,0.020976,1.660920,0.059736
4,0.013872,1.663980,0.053992
5,0.020392,1.689348,0.053940
6,0.021101,1.694388,0.056324
7,0.013877,1.663796,0.061064
8,0.020628,1.677272,0.057976
9,0.021138,1.678304,0.056352
10,0.020936,1.703976,0.055160
11,0.013783,1.689836,0.056292
12,0.021378,1.659140,0.055584
13,0.020102,1.628176,0.057444
14,0.014240,1.623700,0.056236
15,0.020479,1.671220,0.058816
16,0.020943,1.676848,0.056884
17,0.020894,1.712400,0.063892
18,0.013697,1.738832,0.056056
19,0.020767,1.704600,0.054588
20,0.020676,1.710160,0.057788
21,0.021194,1.695860,0.056120
22,0.014096,1.689676,0.059940
23,0.020573,1.669208,0.070828
24,0.021015,1.663548,0.057804
25,0.021067,1.670452,0.059408
26,0.013817,1.719056,0.054524
27,0.020278,1.734204,0.058220
28,0.021229,1.747908,0.062884
29,0.020587,1.721076,0.055320
30,0.020756,1.710884,0.055144
31,0.014089,1.693268,0.055052
32,0.020562,1.697792,0.054872
33,0.021071,1.651972,0.055080
34,0.020971,1.696056,0.058584
35,0.013643,1.727408,0.069292
36,0.020811,1.755716,0.057952
37,0.021191,1.768992,0.061284
38,0.020727,1.764940,0.055768
39,0.020670,1.646984,0.054752
40,0.013788,1.600732,0.058276
41,0.021120,1.628112,0.065196
42,0.020727,1.673212,0.058252
43,0.013871,1.709700,0.057336
44,0.020935,1.740292,0.058048
45,0.020683,1.768760,0.055072
46,0.020681,1.736736,0.064584
47,0.021261,1.657288,0.056976
48,0.013720,1.658476,0.060148
49,0.020916,1.666288,0.054900
50,0.020793,1.678664,0.055724
51,0.014394,1.680672,0.055268
52,0.020350,1.647344,0.054028
53,0.020536,1.606760,0.057844
54,0.014113,1.584616,0.055204
55,0.020490,1.656308,0.059432
56,0.021279,1.632528,0.056368
57,0.013662,1.638116,0.057248
58,0.021130,1.667096,0.061576
59,0.020477,1.643184,0.067232
60,0.014387,1.672564,0.059364
61,0.020824,1.756160,0.055684
62,0.020176,1.716720,0.055576
63,0.021221,1.659832,0.059464
64,0.020954,1.643876,0.058076
65,0.014051,1.653896,0.053944
66,0.020593,1.629508,0.055700
67,0.021062,1.633460,0.057464
68,0.013589,1.647904,0.066784
69,0.021030,1.652252,0.055572
70,0.020514,1.668360,0.055676
71,0.013814,1.686136,0.060508
72,0.021113,1.737284,0.061508
73,0.020874,1.721560,0.054508
74,0.020994,1.709460,0.064912
75,0.013964,1.680884,0.054264
76,0.020677,1.613856,0.067112
77,0.020588,1.650300,0.058556
78,0.021090,1.636392,0.057972
79,0.013334,1.649596,0.058628
80,0.021233,1.697464,0.055628
81,0.021048,1.701952,0.059192
82,0.020768,1.729664,0.056388
83,0.013453,1.735028,0.055036
84,0.020926,1.721944,0.054436
85,0.021094,1.702808,0.060892
86,0.021051,1.671832,0.059816
87,0.013650,1.682256,0.054380
88,0.020965,1.700160,0.055960
89,0.020533,1.689864,0.062060
90,0.021070,1.661544,0.055612
91,0.013975,1.642504,0.054000
92,0.020596,1.671068,0.059608
93,0.021072,1.649480,0.061472
94,0.020813,1.679132,0.055692
95,0.013720,1.689092,0.064508
96,0.021115,1.660396,0.054384
97,0.020711,1.630520,0.054564
98,0.013506,1.603404,0.055308
99,0.021173,1.665128,0.059724
100,0.020814,1.685140,0.059440
101,0.020908,1.682840,0.055960
102,0.013710,1.706672,0.060988
103,0.021156,1.734472,0.063308
104,0.020752,1.700756,0.056912
105,0.020438,1.694836,0.055144
106,0.014148,1.685648,0.061616
107,0.020723,1.671796,0.058844
108,0.020972,1.672836,0.055276
109,0.020583,1.697128,0.065416
110,0.013969,1.665912,0.063084
111,0.021477,1.697676,0.054868
112,0.020036,1.676868,0.055160
113,0.021047,1.672664,0.058704
114,0.014089,1.673092,0.063276
115,0.020730,1.697992,0.054640
116,0.020906,1.772824,0.056804
117,0.020695,1.737400,0.054564
118,0.014034,1.686512,0.055276
119,0.020645,1.674088,0.057104
120,0.021020,1.610316,0.059820
121,0.013603,1.544632,0.058216
122,0.021258,1.487432,0.060100
123,0.013769,1.441160,0.059688
124,0.020886,1.394828,0.057364
125,0.013676,1.438440,0.056804
126,0.013592,1.470836,0.055616
127,0.021303,1.591984,0.058952
128,0.020795,1.725868,0.054980
129,0.021373,1.801136,0.056448
130,0.019930,1.773128,0.056076
131,0.014211,1.744328,0.058632
132,0.020424,1.732056,0.058628
133,0.021216,1.700468,0.059576
134,0.020988,1.715476,0.056308
135,0.013928,1.694640,0.057148
136,0.021027,1.658552,0.055216
137,0.020537,1.623016,0.054012
138,0.013669,1.627744,0.059240
139,0.020662,1.641120,0.066000
140,0.021104,1.736016,0.063028
141,0.021068,1.782388,0.055212
142,0.020577,1.768148,0.056228
143,0.020785,1.783680,0.056448
144,0.014641,1.759820,0.057384
145,0.020334,1.759248,0.057372
146,0.020793,1.712268,0.057680
147,0.020848,1.713080,0.055252
148,0.020836,1.686856,0.056840
149,0.013673,1.703364,0.066076
150,0.021119,1.694876,0.053780
151,0.020630,1.692548,0.056508
152,0.020907,1.679524,0.057692
153,0.013578,1.688348,0.064652
154,0.021168,1.720824,0.061896
155,0.020626,1.728784,0.058248
156,0.020892,1.739240,0.054640
157,0.020959,1.730548,0.056864
158,0.013496,1.700532,0.066528
159,0.021205,1.697332,0.058192
160,0.021028,1.703564,0.056796
161,0.021069,1.716756,0.060044
162,0.013698,1.701708,0.056320
163,0.020339,1.676788,0.055804
164,0.021082,1.623532,0.056320
165,0.013841,1.633596,0.065004
166,0.021224,1.706780,0.060036
167,0.020667,1.724604,0.056916
168,0.020690,1.722516,0.054716
169,0.020991,1.689404,0.054344
170,0.014011,1.648024,0.054868
171,0.020458,1.666700,0.059752
172,0.021173,1.695004,0.070440
173,0.013547,1.669380,0.053980
174,0.021020,1.636596,0.054736
175,0.020932,1.718984,0.055280
176,0.021029,1.691636,0.054628
177,0.013447,1.698972,0.054584
178,0.020591,1.732660,0.057864
179,0.021303,1.717280,0.063252
180,0.020817,1.738356,0.054396
181,0.020700,1.734956,0.056088
182,0.014136,1.694048,0.058496
183,0.020539,1.721420,0.055128
184,0.020978,1.687976,0.069040
185,0.020784,1.636812,0.058576
186,0.013873,1.633876,0.059096
187,0.021045,1.662644,0.056636
188,0.020396,1.733196,0.055364
189,0.020718,1.754076,0.055064
190,0.015064,1.734100,0.055236
191,0.019940,1.769448,0.057028
192,0.020892,1.745528,0.055472
193,0.020768,1.650004,0.054676
194,0.014224,1.685808,0.055828
195,0.020640,1.738688,0.054940
196,0.021029,1.772936,0.054964
197,0.020556,1.708216,0.058424
198,0.020991,1.647420,0.061972
199,0.013466,1.627972,0.061604
200,0.021083,1.672340,0.055016
201,0.021087,1.709812,0.054936
202,0.020436,1.737944,0.063264
203,0.014393,1.743492,0.056104
204,0.020501,1.743764,0.060652
205,0.020915,1.760512,0.055772
206,0.020974,1.739820,0.068608
207,0.020478,1.725416,0.054388
208,0.014141,1.691480,0.055204
209,0.021501,1.679748,0.054048
210,0.020033,1.652536,0.057900
211,0.021050,1.663384,0.055356
212,0.013381,1.665544,0.055344
213,0.021312,1.669084,0.054864
214,0.020946,1.721168,0.065060
215,0.020525,1.714272,0.058292
216,0.013949,1.724876,0.056520
217,0.020534,1.737040,0.057748
218,0.021231,1.728624,0.059452
219,0.021013,1.729868,0.072796
220,0.020797,1.727200,0.062272
221,0.013857,1.764664,0.056284
222,0.020887,1.784104,0.055464
223,0.020629,1.683356,0.069876
224,0.020893,1.623960,0.058940
225,0.013743,1.620256,0.054232
226,0.021116,1.675616,0.055224
227,0.020703,1.735768,0.057480
228,0.021065,1.753648,0.053916
229,0.020679,1.733648,0.057664
230,0.013457,1.726680,0.056804
231,0.021310,1.742128,0.056036
232,0.020865,1.708592,0.057096
233,0.020581,1.754712,0.057404
234,0.020934,1.746508,0.063140
235,0.013573,1.744692,0.057196
236,0.020993,1.734816,0.061588
237,0.021065,1.714052,0.056064
238,0.020912,1.678872,0.056472
239,0.013739,1.691268,0.054968
240,0.020960,1.712240,0.055236
241,0.020403,1.730540,0.054348
242,0.021388,1.691568,0.055468
243,0.020618,1.691248,0.062624
244,0.013815,1.730780,0.054116
245,0.020958,1.762920,0.063412
246,0.021088,1.734592,0.054708
247,0.020420,1.712672,0.058808
248,0.021181,1.742932,0.056040
249,0.013993,1.746372,0.064760
250,0.020342,1.737956,0.055236
251,0.021037,1.737572,0.054744
252,0.020494,1.753740,0.054848
253,0.021042,1.723848,0.054892
254,0.014081,1.700592,0.067564
255,0.020885,1.707356,0.056312
256,0.020628,1.740436,0.057112
257,0.020912,1.777024,0.057412
258,0.020398,1.741216,0.055088
259,0.021265,1.719784,0.058144
260,0.013903,1.750888,0.061456
261,0.020456,1.804796,0.054728
262,0.021166,1.850204,0.059220
263,0.020661,1.827704,0.053972
264,0.020609,1.783992,0.058052
265,0.021259,1.709612,0.064304
266,0.020835,1.701520,0.054540
267,0.014471,1.671784,0.055064
268,0.020442,1.713912,0.054092
269,0.020476,1.694064,0.055352
270,0.021061,1.690744,0.057664
271,0.014416,1.729448,0.065952
272,0.020530,1.779952,0.055228
273,0.020535,1.775352,0.056828
274,0.020821,1.741052,0.054904
275,0.020708,1.716060,0.060556
276,0.020989,1.732720,0.060028
277,0.013828,1.705252,0.062708
278,0.020935,1.749836,0.054436
279,0.020776,1.804016,0.065020
280,0.020790,1.770176,0.054048
