
# Capture run: 12-00 19:35:56
frame,frame_time_ms,shading_ms,post_ms
0,0.020226,1.732640,0.058408
1,0.021190,1.734136,0.054804
2,0.020528,1.839292,0.055300
3,0.020915,1.897228,0.056404
4,0.021252,1.882676,0.061800
5,0.027300,1.929872,0.059140
6,0.020824,1.880796,0.055212
7,0.021440,1.863384,0.056892
8,0.020589,1.864740,0.068472
9,0.021083,1.893188,0.055780
10,0.020146,1.876684,0.057096
11,0.021170,1.779600,0.056300
12,0.021237,1.767768,0.057932
13,0.020480,1.786556,0.054920
14,0.020431,1.828400,0.059824
15,0.021260,1.865860,0.057280
16,0.020728,1.885060,0.054284
17,0.020998,1.887524,0.056724
18,0.020568,1.879372,0.054220
19,0.021022,1.893300,0.058324
20,0.020816,1.881304,0.054880
21,0.021188,1.931580,0.055132
22,0.020518,1.900828,0.060136
23,0.020991,1.810772,0.054156
24,0.020628,1.815432,0.054708
25,0.020735,1.849192,0.061380
26,0.020708,1.822996,0.058476
27,0.021023,1.882600,0.057972
28,0.020866,1.822092,0.056880
29,0.020731,1.760096,0.055240
30,0.020589,1.712608,0.056064
31,0.021127,1.748804,0.056400
32,0.020901,1.812244,0.057444
33,0.020981,1.892688,0.055752
34,0.020661,1.914996,0.069380
35,0.020574,1.890200,0.056608
36,0.020961,1.870172,0.062876
37,0.021113,1.865264,0.054280
38,0.020514,1.836536,0.057912
39,0.021145,1.886396,0.054676
40,0.020781,1.865640,0.055452
41,0.027851,1.900360,0.054408
42,0.020735,1.859660,0.071424
43,0.014287,1.780456,0.055632
44,0.020410,1.761188,0.055136
45,0.021121,1.875528,0.066552
46,0.027680,1.902256,0.059408
47,0.020783,1.817728,0.056296
48,0.020646,1.813604,0.063408
49,0.020949,1.808800,0.064604
50,0.020731,1.823960,0.057216
51,0.021118,1.870392,0.056440
52,0.020528,1.805508,0.055012
53,0.014242,1.777928,0.053712
54,0.027468,1.830956,0.061020
55,0.021011,1.813280,0.055268
56,0.020587,1.802476,0.054720
57,0.021229,1.790332,0.056656
58,0.020609,1.836012,0.071112
59,0.020842,1.880032,0.055748
60,0.021033,1.888588,0.063588
61,0.020746,1.866400,0.058304
62,0.020791,1.881900,0.062276
63,0.020880,1.925720,0.058244
64,0.021169,1.985380,0.055656
65,0.027260,1.951408,0.060992
66,0.014182,1.836056,0.055332
67,0.020836,1.784568,0.055808
68,0.020534,1.784452,0.055100
69,0.020499,1.755212,0.056080
70,0.021536,1.781040,0.056420
71,0.020659,1.882868,0.054968
72,0.020452,1.916612,0.060116
73,0.020759,1.910228,0.055480
74,0.028182,1.944972,0.056456
75,0.020552,1.906408,0.055560
76,0.021348,1.902124,0.059776
77,0.020742,1.812384,0.054092
78,0.021200,1.805080,0.055364
79,0.020443,1.793772,0.054700
80,0.020737,1.823128,0.055844
81,0.020791,1.836240,0.054740
82,0.021005,1.889972,0.055536
83,0.020565,1.893840,0.055228
84,0.020841,1.879176,0.057068
85,0.020888,1.893340,0.057308
86,0.021045,1.912732,0.066232
